super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
1132,California Institute Of The Arts,2,8,Nonselective four-year private not-for-profit,1,4,CA,38300,Los Angeles,6037,Los Angeles,0,122.6666667,0.45923913,0.36633381,0.009437901,0.002520606,205473.4941,108700,0.694929475,0.080275685,0.11305255,0.13451971,0.18637528,0.48577678,0.3606846,0.23995835,0.055772357,0.008267282,0.51210344,46508.11575,25300,33400,0.16983341,0.19056717,0.23344781,0.16073743,0.16249548,0.2527521,0.17921942,0.11501116,0.032090642,0.39705986,0.52652407,0.46556962,0.49853486,0.5458504,0.26582542,0.40433523,0.11186426,0.10040656,0.11756861,0.17289409,0.29821095,0.18070027,0.13141808,0.21677658,0.24029714,0.21099766,0.21073699,0.2132656,0.12470254,0.21627687,0.25597015,0.096267305,0.21299723,0.21848838,0.1586086,0.18771204,0.17505716,0.14655349,0.33206871,0.031399366,0.070494689,0,0.05471541,0.023473399,0.25916672,0.37265384,0.4452835,0.40737209,0.34496519,0,0
1164,Chapman University,2,4,Highly selective private,1,4,CA,38300,Los Angeles,6059,Orange,0,603,0.57103372,0.56117231,0.017024867,0.001599682,233063.9002,109600,0.713686339,0.053395603,0.088427097,0.14923328,0.21186167,0.49708232,0.31340426,0.19515698,0.052809216,0.009395609,0.64327455,55754.45067,47900,53000,0.10135809,0.11376916,0.12755314,0.14152712,0.18838084,0.42876974,0.24453428,0.13736945,0.023500158,0.58803666,0.65134901,0.60029197,0.66387337,0.65189642,0.15352066,0.12330615,0.15092303,0.2534062,0.31884399,0.10055509,0.092736676,0.17967828,0.22903757,0.3979924,0.15364085,0.13648593,0.15589833,0.19639237,0.35758242,0.078609914,0.13319492,0.15142153,0.19854058,0.43823308,0.11486483,0.12911655,0.12519942,0.167428,0.46339121,0.029959064,0.012609723,0.0223435,0.015561788,0.028474344,0.38436103,0.60746998,0.58094972,0.54708201,0.57199699,0,0
1170,Claremont Mckenna College,2,2,Other elite schools (public and private),1,4,CA,38300,Los Angeles,6037,Los Angeles,0,266,0.46992481,0.57537639,0.029592477,0.012494438,335092.9724,142000,0.782583563,0.043338105,0.060416773,0.099125788,0.16861159,0.62850773,0.47098017,0.3521474,0.13383201,0.015121774,0.74572706,98125.4208,69900,75700,0.081561483,0.086978272,0.067427561,0.082857281,0.13003744,0.63269943,0.45114809,0.3298488,0.12106311,0.79085571,0.66758353,0.69615346,0.76497483,0.75278193,0.083585404,0.034294575,0.086453103,0.11283883,0.68282813,0.16919076,0.091441602,0.036439057,0.14515178,0.55777675,0.12550494,0.068512075,0.11162899,0.17970413,0.51464981,0.059223231,0.048002586,0.13253766,0.099198878,0.66103762,0.080679014,0.072443955,0.069205739,0.13021037,0.647461,0.28830144,0.022427527,0.036911689,0.098591991,0.13831335,0.30400914,0.42882866,0.61952108,0.62211037,0.58867574,0,0
1171,Harvey Mudd College,2,2,Other elite schools (public and private),1,4,CA,38300,Los Angeles,6037,Los Angeles,0,164,0.3211382,0.54920626,0.029232727,0.006068034,207971.9583,139800,0.775524099,0.039317533,0.06321729,0.11517868,0.17000231,0.61228418,0.4441646,0.26962224,0.053890709,0.004025462,0.78961754,109616.2766,82400,87700,0.076982915,0.082202755,0.055928871,0.064991489,0.11726811,0.67960876,0.53093082,0.37278041,0.11106659,0.86708117,0.78203869,0.79951406,0.70023394,0.80838168,0.060426492,0.054267973,0.13728304,0.004518912,0.74350357,0.074138619,0.090871222,0.078916684,0.13103652,0.62503695,0.051190678,0.073687389,0.098375186,0.057415891,0.71933085,0.13460234,0.077984199,0.12006264,0.11813425,0.54921651,0.075718611,0.04296346,0.037341006,0.13410518,0.70987177,0.15433405,0.12838176,0.087861016,0.079135925,0.11973134,0.45299488,0.44882381,0.58214778,0.50936013,0.57061541,0,0
11649,Loyola Marymount University,2,6,Selective private,1,4,CA,38300,Los Angeles,6037,Los Angeles,0,1016,0.585958,0.50929028,0.024588708,0.001668548,314268.5526,131800,0.749116748,0.05359913,0.095755287,0.11210898,0.15935838,0.57917821,0.43738458,0.29893836,0.086172074,0.015385716,0.68718237,66238.50992,56200,62200,0.10276026,0.11434958,0.093833104,0.10218398,0.18558641,0.50404692,0.32088459,0.18749973,0.045171659,0.65811485,0.69880038,0.68564588,0.70289963,0.68392444,0.15566319,0.093558639,0.10331354,0.18871263,0.45875201,0.095708139,0.082403794,0.112077,0.25591391,0.45389715,0.10151209,0.094638273,0.10992192,0.17638138,0.51754636,0.089256257,0.090792388,0.10353165,0.187856,0.52856374,0.12299748,0.096428894,0.098575249,0.17482719,0.50717127,0.031130141,0.034403022,0.026389308,0.026874512,0.056921482,0.44625935,0.45285198,0.47061491,0.49183959,0.53674203,0,0
10474,Marymount California University,2,8,Nonselective four-year private not-for-profit,1,4,CA,38300,Los Angeles,6037,Los Angeles,0,110,0.5090909,0.38332346,0.018336337,0.002424799,298825.9479,104900,0.65622894,0.11168693,0.14642362,0.10700309,0.16259441,0.47229198,0.39053157,0.32055667,0.14425531,0.028857745,0.50293195,34001.24089,31300,35300,0.1999113,0.24684015,0.1520685,0.17501092,0.23015183,0.1959286,0.11058668,0.048470177,0.00325939,0.56572384,0.51202369,0.44123089,0.48255742,0.50625771,0.35300279,0.000726651,0,0.48209435,0.16417621,0.10703702,0.2514267,0.35223421,0.17544751,0.11385453,0.19814861,0.23990563,0.23300177,0.2366731,0.092270911,0.22500767,0.19085053,0.13082889,0.23526883,0.21804412,0.28362563,0.12380194,0.16352504,0.18429363,0.24475381,0.021710681,0.001048276,5.10272E-05,0.000239822,0.001347989,0.23729022,0.32051685,0.4301869,0.50226194,0.38576499,1,1
1249,Occidental College,2,2,Other elite schools (public and private),1,4,CA,38300,Los Angeles,6037,Los Angeles,0,380,0.58859646,0.46162519,0.033389218,0.001755863,254125.5501,122400,0.71406524,0.085336223,0.098447613,0.12118489,0.17474446,0.5202868,0.39859039,0.27686492,0.086651601,0.012726082,0.64965373,58066.14856,49000,53400,0.1000796,0.1094578,0.12872306,0.12722774,0.20661175,0.42797962,0.24903443,0.1385643,0.039994642,0.64923233,0.62051308,0.67032915,0.67858183,0.64070529,0.093855537,0.070173681,0.22052939,0.22417471,0.39126664,0.13101706,0.1443291,0.12605977,0.2087568,0.38983729,0.10209327,0.10691465,0.10937881,0.20458755,0.47702575,0.089846984,0.12470074,0.13187981,0.20126025,0.45231217,0.11623932,0.1418038,0.11474053,0.20559411,0.42162225,0.020575825,0.008920524,0.036048718,0.046713095,0.047722068,0.45827371,0.45251217,0.4369579,0.45542514,0.47172713,0,0
10149,Pepperdine University,2,4,Highly selective private,1,4,CA,38300,Los Angeles,6037,Los Angeles,0,569.3333333,0.5942623,0.58536851,0.018597502,0.002977274,371031.0396,124100,0.751117965,0.04315082,0.079490021,0.14115372,0.18051618,0.55568922,0.4223035,0.28832242,0.11783572,0.02155757,0.67307276,74970.85492,55800,61700,0.1235973,0.13899854,0.10666357,0.094987281,0.16710052,0.49225008,0.33268026,0.22252442,0.052035838,0.65291536,0.6822058,0.69561607,0.66415572,0.67050201,0.17272243,0.14037853,0.07200902,0.18390161,0.4309884,0.14212571,0.11575144,0.046753902,0.19345067,0.50191826,0.1040726,0.094723865,0.1254769,0.18727456,0.48845205,0.12764263,0.12370241,0.095908217,0.19386491,0.45888188,0.14849317,0.10024331,0.095627278,0.1482076,0.50742871,0.068996921,0.036096342,0.053288393,0.051812172,0.052753359,0.47431204,0.44544435,0.58501744,0.57412153,0.617751,0,0
1172,Pitzer College,2,4,Highly selective private,1,4,CA,38300,Los Angeles,6037,Los Angeles,0,192,0.61979169,0.47573745,0.022146214,0.001705372,434121.4144,131900,0.757056935,0.062417161,0.087090917,0.099069104,0.16149834,0.58992445,0.45231566,0.35811493,0.13643451,0.018459652,0.61444956,51976.01988,43500,48000,0.11824957,0.12571022,0.15501504,0.13455847,0.23564841,0.34906781,0.20704933,0.12010661,0.023460168,0.5818603,0.6712153,0.59421802,0.67602354,0.59605843,0.21798295,0.13688895,0.13964134,0.15067703,0.3548097,0.077730067,0.15061063,0.079197764,0.21517275,0.47728881,0.13884097,0.15097432,0.11979806,0.25244632,0.33794034,0.08635173,0.11990438,0.11852856,0.27728122,0.39793408,0.13160032,0.16787362,0.14906077,0.23344328,0.31802195,0.027322158,0.021505062,0.016161229,0.022133587,0.024929101,0.44306132,0.46070534,0.5140816,0.44942144,0.48217896,0,0
1173,Pomona College,2,2,Other elite schools (public and private),1,4,CA,38300,Los Angeles,6037,Los Angeles,0,369.3333333,0.4963899,0.53814775,0.019502569,0.000629072,324439.5016,161600,0.802622542,0.036810484,0.065381095,0.088323444,0.12827909,0.68120587,0.53249961,0.38768524,0.12397808,0.015998272,0.72083247,90406.20437,62000,67800,0.077954203,0.085575879,0.090341687,0.091381244,0.17635235,0.5563488,0.37304634,0.25608358,0.10563219,0.62807858,0.69616449,0.66852683,0.70389521,0.7381835,0.1219831,0.09031561,0.10711586,0.1507753,0.52981019,0.12904955,0.10667291,0.12837234,0.088167392,0.54773784,0.11207079,0.11722557,0.1073786,0.21736598,0.44595903,0.085256793,0.096211359,0.083608411,0.22068813,0.51423526,0.076060817,0.084184632,0.086370185,0.17253165,0.58085269,0.017089492,0.12363161,0.071477905,0.073057674,0.11925177,0.34464678,0.5085085,0.46711496,0.51580107,0.56486684,0,0
1326,Santa Clara University,2,4,Highly selective private,1,4,CA,37500,San Jose,6085,Santa Clara,0,989.6666667,0.55001682,0.61054605,0.022468021,0.001999797,327182.7915,149900,0.787701157,0.036217712,0.060836144,0.1054597,0.14669478,0.65079165,0.5052591,0.35654476,0.10844481,0.015293676,0.75007588,91531.37011,72500,78800,0.09202981,0.099994488,0.06402798,0.070528187,0.13467148,0.63077784,0.46612179,0.32964963,0.093141884,0.74026501,0.69875753,0.73057491,0.75375229,0.75775057,0.11466815,0.069043547,0.063934363,0.1319939,0.62036002,0.12837908,0.063467972,0.087731183,0.16845314,0.55196863,0.092295185,0.090216778,0.089237466,0.13299924,0.59525132,0.09285228,0.055688336,0.093623511,0.14063661,0.61719924,0.099382058,0.06143719,0.061049286,0.13058896,0.64754248,0.055215985,0.043287475,0.072723255,0.084319718,0.10521033,0.60450751,0.53856486,0.58233452,0.5980463,0.62500012,0,0
1174,Scripps College,2,2,Other elite schools (public and private),1,4,CA,38300,Los Angeles,6037,Los Angeles,0,185,0.99459457,0.54493582,0.025185836,0.001896794,254753.8226,126300,0.750779663,0.051244065,0.073634446,0.13667499,0.17385992,0.56458664,0.40698156,0.28678873,0.082430147,0.009323101,0.61285448,54995.78644,46400,52900,0.1447937,0.15172443,0.13680701,0.089854211,0.22166428,0.39995009,0.20063752,0.10768167,0.03508487,0.65563697,0.55915934,0.5645656,0.66830254,0.61058927,0.16845582,0.058835093,0.13983391,0.14138728,0.49148786,0.13390359,0.12870184,0.19997077,0.25316596,0.28425789,0.18733096,0.17064209,0.089221872,0.19319819,0.35960686,0.11136011,0.088333316,0.084361352,0.25977874,0.45616645,0.1563403,0.1516774,0.072800793,0.21999602,0.39918542,0.037014902,0.02609756,0.014864584,0.011771944,0.048155777,0.44775516,0.52111953,0.43138641,0.54636097,0.5839116,0,0
1305,Stanford University,2,1,Ivy Plus,1,4,CA,37500,San Jose,6085,Santa Clara,0,1516.333333,0.50714445,0.54568028,0.022457635,0.006627321,472210.5292,172600,0.809392209,0.035795204,0.058271918,0.086171605,0.12980568,0.68995559,0.55813354,0.42007127,0.14479454,0.023389934,0.77462727,174059.0453,84800,94000,0.080435775,0.086458147,0.066362321,0.073925003,0.10052297,0.67273152,0.53910041,0.43070355,0.20914166,0.73601496,0.76411283,0.71358025,0.75957096,0.78797555,0.088627793,0.092627563,0.096218154,0.095134191,0.62739229,0.099484488,0.051254701,0.093810327,0.12246555,0.63298494,0.13465455,0.088383533,0.080972627,0.11093209,0.5850572,0.090424113,0.065498084,0.096412681,0.1049468,0.64271837,0.078479804,0.063687883,0.065978006,0.096817002,0.69503725,0.18514551,0.16969123,0.14527902,0.16127513,0.23069999,0.48508567,0.43039635,0.5215683,0.50727874,0.56879675,0,0
1322,University Of Redlands,2,6,Selective private,1,4,CA,38300,Los Angeles,6071,San Bernardino,0,397.3333333,0.57885903,0.5649572,0.017173236,0,209235.6739,108400,0.703517708,0.053098477,0.096628301,0.15666895,0.22680797,0.46679628,0.3003017,0.18230473,0.04996955,0.008414366,0.64428204,55441.39039,47700,52000,0.091818884,0.1072247,0.12523659,0.14334138,0.2105116,0.41368571,0.2033041,0.10949229,0.022777023,0.6460107,0.64328891,0.59729415,0.65788525,0.65345186,0.13314663,0.078523323,0.19686687,0.26804084,0.32342237,0.0900473,0.1424773,0.11816397,0.24273875,0.40657267,0.16144393,0.15915941,0.14193879,0.18027796,0.35717991,0.090782955,0.10139497,0.17003696,0.24092214,0.39686298,0.097623199,0.12718023,0.12996447,0.19266775,0.45256436,0,0.026654867,0.016956123,0.015672559,0.029970782,0.50903928,0.46210244,0.57971281,0.56234318,0.58892691,0,0
